id,code,name,parent_id/id,level
MP0105,MP0105,แผนย่อยที่ 1.5 แผนย่อยการพัฒนากลไกการบริหารจัดการความมั่นคงแบบองค์รวม,MP01,2
MP02,MP02,2. ประเด็นการต่างประเทศ,MP,2
MP0201,MP0201,แผนย่อยที่ 2.1 แผนย่อยความร่วมมือด้านความมั่นคงระหว่างประเทศ,MP02,2
MP0202,MP0202,แผนย่อยที่ 2.2 แผนย่อยความร่วมมือด้านเศรษฐกิจและความร่วมมือเพื่อการพัฒนาระหว่างประเทศ,MP02,2
MP0203,MP0203,แผนย่อยที่ 2.3 แผนย่อยการพัฒนาที่สอดคล้องกับมาตรฐานสากลและพันธกรณีระหว่างประเทศ,MP02,2
MP0204,MP0204,แผนย่อยที่ 2.4 แผนย่อยการส่งเสริมสถานะและบทบาทของประเทศไทยในประชาคมโลก,MP02,2
MP0205,MP0205,แผนย่อยที่ 2.5 แผนย่อยการต่างประเทศมีเอกภาพและบูรณาการ,MP02,2
MP03,MP03,3. ประเด็นการเกษตร,MP,2
MP0301,MP0301,แผนย่อยที่ 3.1 แผนย่อยเกษตรอัตลักษณ์พื้นถิ่น,MP03,2
MP0302,MP0302,แผนย่อยที่ 3.2 แผนย่อยเกษตรปลอดภัย,MP03,2
MP0303,MP0303,แผนย่อยที่ 3.3 แผนย่อยเกษตรชีวภาพ,MP03,2
MP0304,MP0304,แผนย่อยที่ 3.4 แผนย่อยเกษตรแปรรูป,MP03,2
MP0305,MP0305,แผนย่อยที่ 3.5 แผนย่อยเกษตรอัจฉริยะ,MP03,2
MP0306,MP0306,แผนย่อยที่ 3.6 แผนย่อยการพัฒนาระบบนิเวศการเกษตร,MP03,2
MP04,MP04,4. ประเด็นอุตสาหกรรมและบริการแห่งอนาคต,MP,2
MP0401,MP0401,แผนย่อยที่ 4.1 แผนย่อยอุตสาหกรรมชีวภาพ,MP04,2
MP0402,MP0402,แผนย่อยที่ 4.2 แผนย่อยอุตสาหกรรมและบริการการแพทย์ครบวงจร,MP04,2
MP0403,MP0403,แผนย่อยที่ 4.3 แผนย่อยอุตสาหกรรมและบริการดิจิทัล ข้อมูล และปัญญาประดิษฐ์,MP04,2
MP0404,MP0404,แผนย่อยที่ 4.4 แผนย่อยอุตสาหกรรมต่อเนื่องจากการพัฒนาระบบคมนาคม,MP04,2
MP0405,MP0405,แผนย่อยที่ 4.5 แผนย่อยอุตสาหกรรมความมั่นคงของประเทศ,MP04,2
MP0406,MP0406,แผนย่อยที่ 4.6 แผนย่อยการพัฒนาระบบนิเวศอุตสาหกรรมและบริการแห่งอนาคต,MP04,2
MP05,MP05,5. ประเด็นการท่องเที่ยว,MP,2
MP0501,MP0501,แผนย่อยที่ 5.1 แผนย่อยการท่องเที่ยวเชิงสร้างสรรค์และวัฒนธรรม,MP05,2
MP0502,MP0502,แผนย่อยที่ 5.2 แผนย่อยการท่องเที่ยวเชิงธุรกิจ,MP05,2
MP0503,MP0503,แผนย่อยที่ 5.3 แผนย่อยการท่องเที่ยวเชิงสุขภาพ ความงาม และแพทย์แผนไทย,MP05,2
MP0504,MP0504,แผนย่อยที่ 5.4 แผนย่อยการท่องเที่ยวสำราญทางน้ำ,MP05,2
MP0505,MP0505,แผนย่อยที่ 5.5 แผนย่อยการท่องเที่ยวเชื่อมโยงภูมิภาค,MP05,2
MP0506,MP0506,แผนย่อยที่ 5.6 แผนย่อยการพัฒนาระบบนิเวศการท่องเที่ยว,MP05,2
MP06,MP06,6. ประเด็นพื้นที่และเมืองน่าอยู่อัจฉริยะ,MP,2
MP0601,MP0601,แผนย่อยที่ 6.1 แผนย่อยการพัฒนาเมืองน่าอยู่อัจฉริยะ,MP06,2
MP0602,MP0602,แผนย่อยที่ 6.2 แผนย่อยการพัฒนาพื้นที่เมือง ชนบท เกษตรกรรม และอุตสาหกรรมเชิงนิเวศที่มีการบริหารจัดการตามแผนผังภูมินิเวศอย่างยั่งยืน,MP06,2
MP07,MP07,7. ประเด็นโครงสร้างพื้นฐาน ระบบโลจิสติกส์ และดิจิทัล,MP,2
MP0701,MP0701,แผนย่อยที่ 7.1 แผนย่อยโครงสร้างพื้นฐานด้านคมนาคมและระบบโลจิสติกส์,MP07,2
MP0702,MP0702,แผนย่อยที่ 7.2 แผนย่อยโครงสร้างพื้นฐานด้านพลังงาน,MP07,2
MP0703,MP0703,แผนย่อยที่ 7.3 แผนย่อยโครงสร้างพื้นฐานด้านดิจิทัล,MP07,2
MP08,MP08,8. ประเด็นผู้ประกอบการและวิสาหกิจขนาดกลางและขนาดย่อมยุคใหม่,MP,2
MP0801,MP0801,แผนย่อยที่ 8.1 แผนย่อยการสร้างความเข้มแข็งผู้ประกอบการอัจฉริยะ,MP08,2
MP0802,MP0802,แผนย่อยที่ 8.2 แผนย่อยการสร้างโอกาสเข้าถึงบริการทางการเงิน,MP08,2
MP0803,MP0803,แผนย่อยที่ 8.3 แผนย่อยการสร้างโอกาสเข้าถึงตลาด,MP08,2
MP0804,MP0804,แผนย่อยที่ 8.4 แผนย่อยการสร้างระบบนิเวศน์ที่เอื้อต่อการดำเนินธุรกิจของผู้ประกอบการและวิสาหกิจขนาดกลางและขนาดย่อมยุคใหม่,MP08,2
MP09,MP09,9. ประเด็นเขตเศรษฐกิจพิเศษ,MP,2
MP0901,MP0901,แผนย่อยที่ 9.1 แผนย่อยการพัฒนาเขตพัฒนาพิเศษภาคตะวันออก,MP09,2
MP0902,MP0902,แผนย่อยที่ 9.2 แผนย่อยการพัฒนาระเบียงเศรษฐกิจพิเศษ,MP09,2
MP0903,MP0903,แผนย่อยที่ 9.3 แผนย่อยการพัฒนาเขตพัฒนาเศรษฐกิจพิเศษชายแดน,MP09,2
MP10,MP10,10. ประเด็นการปรับเปลี่ยนค่านิยมและวัฒนธรรม,MP,2
MP1001,MP1001,แผนย่อยที่ 10.1 แผนย่อยการปลูกฝังคุณธรรม จริยธรรม ค่านิยม และเสริมสร้างจิตสาธารณะและการเป็นพลเมืองที่ดี,MP10,2
MP1002,MP1002,แผนย่อยที่ 10.2 แผนย่อยการสร้างค่านิยมและวัฒนธรรมที่พึงประสงค์จากภาคธุรกิจ,MP10,2
MP1003,MP1003,แผนย่อยที่ 10.3 แผนย่อยการใช้สื่อและสื่อสารมวลชนในการปลูกฝังค่านิยมและวัฒนธรรมของคนในสังคม,MP10,2
MP11,MP11,11. ประเด็นการพัฒนาศักยภาพคนตลอดช่วงชีวิต,MP,2
MP1101,MP1101,แผนย่อยที่ 11.1 แผนย่อยการสร้างสภาพแวดล้อมที่เอื้อต่อการพัฒนาและเสริมสร้างศักยภาพมนุษย์,MP11,2
MP1102,MP1102,แผนย่อยที่ 11.2 แผนย่อยการพัฒนาเด็กตั้งแต่ช่วงการตั้งครรภ์จนถึงปฐมวัย,MP11,2
MP1103,MP1103,แผนย่อยที่ 11.3 แผนย่อยการพัฒนาช่วงวัยเรียนและวัยรุ่น,MP11,2
MP1104,MP1104,แผนย่อยที่ 11.4 แผนย่อยการพัฒนาและยกระดับศักยภาพวัยแรงงาน,MP11,2
MP1105,MP1105,แผนย่อยที่ 11.5 แผนย่อยการส่งเสริมศักยภาพวัยผู้สูงอายุ,MP11,2
MP12,MP12,12. ประเด็นการพัฒนาการเรียนรู้,MP,2
MP1201,MP1201,แผนย่อยที่ 12.1 แผนย่อยการปฏิรูปกระบวนการเรียนรู้ที่ตอบสนองต่อการเปลี่ยนแปลงในศตวรรษที่ 21,MP12,2
MP1202,MP1202,แผนย่อยที่ 12.2 แผนย่อยการตระหนักถึงพหุปัญญาของมนุษย์ที่หลากหลาย,MP12,2
MP13,MP13,13. ประเด็นการเสริมสร้างให้คนไทยมีสุขภาวะที่ดี,MP,2
MP1301,MP1301,แผนย่อยที่ 13.1 แผนย่อยการสร้างความรอบรู้ด้านสุขภาวะและการป้องกันและควบคุมปัจจัยเสี่ยงที่คุกคามสุขภาวะ,MP13,2
MP1302,MP1302,แผนย่อยที่ 13.2 แผนย่อยการใช้ชุมชนเป็นฐานในการสร้างสภาพแวดล้อมที่เอื้อต่อการมีสุขภาวะที่ดี,MP13,2
MP1303,MP1303,แผนย่อยที่ 13.3 แผนย่อยการพัฒนาระบบบริการสุขภาพที่ทันสมัยสนับสนุนการสร้างสุขภาวะที่ดี,MP13,2
MP1304,MP1304,แผนย่อยที่ 13.4 แผนย่อยการกระจายบริการสาธารณสุขอย่างทั่วถึงและมีคุณภาพ,MP13,2
MP1305,MP1305,แผนย่อยที่ 13.5 แผนย่อยการพัฒนาและสร้างระบบรับมือและปรับตัวต่อโรคอุบัติใหม่และโรคอุบัติซ้ำที่เกิดจากเปลี่ยนแปลงสภาพภูมิอากาศ,MP13,2
MP14,MP14,14. ประเด็นศักยภาพการกีฬา,MP,2
MP1401,MP1401,แผนย่อยที่ 14.1 แผนย่อยการส่งเสริมการออกกำลังกาย และกีฬาขั้นพื้นฐานให้กลายเป็นวิถีชีวิตและการส่งเสริม ให้ประชาชนมีส่วนร่วมในกิจกรรมออกกำลังกาย กีฬาและนันทนาการ,MP14,2
MP1402,MP1402,แผนย่อยที่ 14.2 แผนย่อยการส่งเสริมการกีฬาเพื่อพัฒนาสู่ระดับอาชีพ,MP14,2
MP1403,MP1403,แผนย่อยที่ 14.3 แผนย่อยการพัฒนาบุคลากรด้านการกีฬาและนันทนาการ,MP14,2
MP15,MP15,15. ประเด็นพลังทางสังคม,MP,2
MP1501,MP1501,แผนย่อยที่ 15.1 แผนย่อยการเสริมสร้างทุนทางสังคม,MP15,2
MP1502,MP1502,แผนย่อยที่ 15.2 แผนย่อยการรองรับสังคมสูงวัยเชิงรุก,MP15,2
MP16,MP16,16. ประเด็นเศรษฐกิจฐานราก,MP,2
MP1601,MP1601,แผนย่อยที่ 16.1 แผนย่อยการยกระดับศักยภาพการเป็นผู้ประกอบการธุรกิจ,MP16,2
MP1602,MP1602,แผนย่อยที่ 16.2 แผนย่อยการสร้างสภาพแวดล้อมและกลไกที่ส่งเสริมการพัฒนาเศรษฐกิจฐานราก,MP16,2
MP17,MP17,17. ประเด็นความเสมอภาคและหลักประกันทางสังคม,MP,2
MP1701,MP1701,แผนย่อยที่ 17.1 แผนย่อยการคุ้มครองทางสังคมขั้นพื้นฐานและหลักประกันทางเศรษฐกิจสังคม และสุขภาพ,MP17,2
MP1702,MP1702,แผนย่อยที่ 17.2 แผนย่อยมาตรการแบบเจาะจงกลุ่มเป้าหมายเพื่อแก้ปัญหาเฉพาะกลุ่ม,MP17,2
MP18,MP18,18. ประเด็นการเติบโตอย่างยั่งยืน,MP,2
MP1801,MP1801,แผนย่อยที่ 18.1 แผนย่อยการสร้างการเติบโตอย่างยั่งยืนบนสังคมเศรษฐกิจสีเขียว,MP18,2
MP1802,MP1802,แผนย่อยที่ 18.2 แผนย่อยการสร้างการเติบโตอย่างยั่งยืนบนสังคมเศรษฐกิจภาคทะเล,MP18,2
MP1803,MP1803,แผนย่อยที่ 18.3 แผนย่อยการสร้างการเติบโตอย่างยั่งยืนบนสังคมที่เป็นมิตรต่อสภาพภูมิอากาศ,MP18,2
MP1804,MP1804,แผนย่อยที่ 18.4 แผนย่อยการจัดการมลพิษที่มีผลกระทบต่อสิ่งแวดล้อมและสารเคมีในภาคเกษตรทั้งระบบให้เป็นไปตามมาตรฐานสากล,MP18,2
MP1805,MP1805,แผนย่อยที่ 18.5 แผนย่อยการยกระดับกระบวนทัศน์เพื่อกำหนดอนาคตประเทศ,MP18,2
MP19,MP19,19. ประเด็นการบริหารจัดการน้ำทั้งระบบ,MP,2
MP1901,MP1901,แผนย่อยที่ 19.1 แผนย่อยการพัฒนาการจัดการน้ำเชิงลุ่มน้ำทั้งระบบเพื่อเพิ่มความมั่นคงด้านน้ำของประเทศ,MP19,2
MP1902,MP1902,แผนย่อยที่ 19.2 แผนย่อยการเพิ่มผลิตภาพของน้ำทั้งระบบในการใช้น้ำอย่างประหยัดรู้คุณค่าและสร้างมูลค่าเพิ่มจากการใช้น้ำให้ทัดเทียมกับระดับสากล,MP19,2
MP1903,MP1903,แผนย่อยที่ 19.3 แผนย่อยการอนุรักษ์และฟื้นฟูแม่น้ำลำคลองและแหล่งน้ำธรรมชาติทั่วประเทศ,MP19,2
MP20,MP20,20. ประเด็นการบริการประชาชนและประสิทธิภาพภาครัฐ,MP,2
MP2001,MP2001,แผนย่อยที่ 20.1 แผนย่อยการพัฒนาบริการประชาชน,MP20,2
MP2002,MP2002,แผนย่อยที่ 20.2 แผนย่อยการบริหารจัดการการเงินการคลัง,MP20,2
MP2003,MP2003,แผนย่อยที่ 20.3 แผนย่อยการปรับสมดุลภาครัฐ,MP20,2
MP2004,MP2004,แผนย่อยที่ 20.4 แผนย่อยการพัฒนาระบบบริหารงานภาครัฐ,MP20,2
MP2005,MP2005,แผนย่อยที่ 20.5 แผนย่อยการสร้างและพัฒนาบุคลากรภาครัฐ,MP20,2
MP21,MP21,21. ประเด็นการต่อต้านการทุจริตและประพฤติมิชอบ,MP,2
MP2101,MP2101,แผนย่อยที่ 21.1 แผนย่อยการป้องกันการทุจริตและประพฤติมิชอบ,MP21,2
MP2102,MP2102,แผนย่อยที่ 21.2 แผนย่อยการปราบปรามการทุจริต,MP21,2
MP22,MP22,22. ประเด็นกฎหมายและกระบวนการยุติธรรม,MP,2
MP2201,MP2201,แผนย่อยที่ 22.1 แผนย่อยการพัฒนากฎหมาย,MP22,2
MP2202,MP2202,แผนย่อยที่ 22.2 แผนย่อยการพัฒนากระบวนการยุติธรรม,MP22,2
MP23,MP23,23. ประเด็นการวิจัยและพัฒนานวัตกรรม,MP,2
MP2301,MP2301,แผนย่อยที่ 23.1 แผนย่อยการวิจัยและพัฒนานวัตกรรม ด้านเศรษฐกิจ,MP23,2
MP2302,MP2302,แผนย่อยที่ 23.2 แผนย่อยการวิจัยและพัฒนานวัตกรรม ด้านสังคม,MP23,2
MP2303,MP2303,แผนย่อยที่ 23.3 แผนย่อยการวิจัยและพัฒนานวัตกรรม ด้านสิ่งแวดล้อม,MP23,2
MP2304,MP2304,แผนย่อยที่ 23.4 แผนย่อยการวิจัยและพัฒนานวัตกรรม ด้านองค์ความรู้พื้นฐาน,MP23,2
MP2305,MP2305,แผนย่อยที่ 23.5 แผนย่อยด้านปัจจัยสนับสนุนในการวิจัยและพัฒนานวัตกรรม,MP23,2
P13,P13,แผนพัฒนาเศรษฐกิจและสังคมแห่งชาติ ฉบับที่ 13,,2
P1301,P1301,หมุดหมายที่ 1 ไทยเป็นประเทศชั้นนำด้านสินค้าเกษตรและเกษตรแปรรูปมูลค่าสูง,P13,2
P130101,P130101,เป้าหมายที่ 1.1 มูลค่าเพิ่มของสินค้าเกษตรและเกษตรแปรรูปสูงขึ้น,P1301,2
P130102,P130102,เป้าหมายที่ 1.2 การพัฒนาโครงสร้างพื้นฐานและระบบบริหารจัดการ เพื่อคุณภาพ ความมั่นคงทางอาหาร และความยั่งยืนของภาคเกษตร,P1301,2
P130103,P130103,เป้าหมายที่ 1.3 การเพิ่มศักยภาพและบทบาทของผู้ประกอบการเกษตรในฐานะหุ้นส่วนเศรษฐกิจของห่วงโซ่อุปทานที่ได้รับส่วนแบ่งประโยชน์อย่างเหมาะสมและเป็นธรรม,P1301,2
P1302,P1302,หมุดหมายที่ 2 ไทยเป็นจุดหมายของการท่องเที่ยวที่เน้นคุณภาพและความยั่งยืน,P13,2
P130201,P130201,เป้าหมายที่ 2.1 การเปลี่ยนการท่องเที่ยวไทยเป็นการท่องเที่ยวคุณภาพสูงที่เชื่อมโยงกับอุตสาหกรรมและบริการที่มีศักยภาพอื่น,P1302,2
P130202,P130202,เป้าหมายที่ 2.2 การปรับโครงสร้างการท่องเที่ยวให้พึ่งพานักท่องเที่ยวในประเทศและมีการกระจายโอกาสทางเศรษฐกิจมากขึ้น,P1302,2
P130203,P130203,เป้าหมายที่ 2.3 การท่องเที่ยวไทยต้องมีการบริหารจัดการอย่างยั่งยืนในทุกมิติ,P1302,2
P1303,P1303,หมุดหมายที่ 3 ไทยเป็นฐานการผลิตยานยนต์ไฟฟ้าที่สำคัญของโลก,P13,2
P130301,P130301,เป้าหมายที่ 3.1 การสร้างอุปสงค์ของรถยนต์ไฟฟ้าประเภทต่าง ๆ เพื่อการใช้ในประเทศและส่งออก,P1303,2
P130302,P130302,เป้าหมายที่ 3.2 ผู้ประกอบการเดิมสามารถปรับตัวไปสู่การผลิตยานยนต์ไฟฟ้าและมีการลงทุนเทคโนโลยียานยนต์ไฟฟ้าที่สำคัญภายในประเทศ,P1303,2
P130303,P130303,เป้าหมายที่ 3.3 การสร้างความพร้อมของปัจจัยสนับสนุนอย่างเป็นระบบ,P1303,2
P1304,P1304,หมุดหมายที่ 4 ไทยเป็นศูนย์กลางทางการแพทย์และสุขภาพมูลค่าสูง,P13,2
P130401,P130401,เป้าหมายที่ 4.1 ไทยมีศักยภาพในการสร้างมูลค่าทางเศรษฐกิจจากสินค้าและบริการสุขภาพ,P1304,2
P130402,P130402,เป้าหมายที่ 4.2 องค์ความรู้ด้านการแพทย์และสาธารณสุขมีศักยภาพ เอื้อต่อการสร้างมูลค่าเพิ่มในสินค้า และบริการทางสุขภาพ,P1304,2
P130403,P130403,เป้าหมายที่ 4.3 ประชาชนไทยได้รับความเป็นธรรมในการเข้าถึงบริการสุขภาพ,P1304,2
P130404,P130404,เป้าหมายที่ 4.4 ระบบบริหารจัดการภาวะฉุกเฉินด้านสุขภาพมีความพร้อมรองรับภัยคุกคามสุขภาพ,P1304,2
P1305,P1305,หมุดหมายที่ 5 ไทยเป็นประตูการค้าการลงทุนและยุทธศาสตร์ทางโลจิสติกส์ที่สำคัญของภูมิภาค,P13,2
P130501,P130501,เป้าหมายที่ 5.1 ไทยเป็นประตูการค้าการลงทุนในภูมิภาค,P1305,2
P130502,P130502,เป้าหมายที่ 5.2 ไทยเป็นห่วงโซ่อุปทานของภูมิภาค,P1305,2
P130503,P130503,เป้าหมายที่ 5.3 ไทยเป็นประตูและทางเชื่อมโครงข่ายคมนาคมและโลจิสติกส์ของภูมิภาค,P1305,2
P1306,P1306,หมุดหมายที่ 6 ไทยเป็นศูนย์กลางอุตสาหกรรมอิเล็กทรอนิกส์อัจฉริยะและอุตสาหกรรมดิจิทัลของอาเซียน,P13,2
P130601,P130601,เป้าหมายที่ 6.1 เศรษฐกิจดิจิทัลภายในประเทศมีการขยายตัวเพิ่มขึ้น,P1306,2
P130602,P130602,เป้าหมายที่ 6.2 การส่งออกของอุตสาหกรรมอิเล็กทรอนิกส์อัจฉริยะของประเทศเพิ่มขึ้น,P1306,2
P130603,P130603,เป้าหมายที่ 6.3 อุตสาหกรรมดิจิทัลและอุตสาหกรรมอิเล็กทรอนิกส์อัจฉริยะของประเทศมีความเข้มแข็งขึ้น,P1306,2
P1307,P1307,หมุดหมายที่ 7 ไทยมีวิสาหกิจขนาดกลางและขนาดย่อมที่เข้มแข็ง มีศักยภาพสูง และสามารถแข่งขันได้,P13,2
P130701,P130701,เป้าหมายที่ 7.1 วิสาหกิจขนาดกลางและขนาดย่อมมีสภาพแวดล้อมที่เอื้ออำนวยต่อการเติบโตและแข่งขันได้,P1307,2
P130702,P130702,เป้าหมายที่ 7.2 วิสาหกิจขนาดกลางและขนาดย่อม มีศักยภาพสูงในการดำเนินธุรกิจ สามารถยกระดับและปรับตัวเข้าสู่การแข่งขันใหม่,P1307,2
P130703,P130703,เป้าหมายที่ 7.3 วิสาหกิจขนาดกลางและขนาดย่อมสามารถเข้าถึงและได้รับการส่งเสริมอย่างมีประสิทธิผลจากภาครัฐ,P1307,2
P1308,P1308,หมุดหมายที่ 8 ไทยมีพื้นที่และเมืองอัจฉริยะที่น่าอยู่ ปลอดภัย เติบโตได้อย่างยั่งยืน,P13,2
P130801,P130801,เป้าหมายที่ 8.1 การเจริญเติบโตทางเศรษฐกิจของภาคและการลงทุนในเขตเศรษฐกิจพิเศษขยายตัวเพิ่มขึ้น,P1308,2
P130802,P130802,เป้าหมายที่ 8.2 ความไม่เสมอภาคในการกระจายรายได้ของภาคลดลง,P1308,2
P130803,P130803,เป้าหมายที่ 8.3 การพัฒนาเมืองให้มีความน่าอยู่ อย่างยั่งยืน มีความพร้อมในการรับมือและปรับตัวต่อการเปลี่ยนแปลงทุกรูปแบบ เพื่อให้ประชาชนทุกกลุ่มมีคุณภาพชีวิตที่ดีอย่างทั่วถึง,P1308,2
P1309,P1309,หมุดหมายที่ 9 ไทยมีความยากจนข้ามรุ่นลดลง และมีความคุ้มครองทางสังคมที่เพียงพอ เหมาะสม,P13,2
P130901,P130901,เป้าหมายที่ 9.1 ครัวเรือนที่มีแนวโน้มกลายเป็นครัวเรือนยากจนข้ามรุ่น มีโอกาสในการเลื่อนสถานะทางเศรษฐกิจและสังคม จนสามารถหลุดพ้นจากความยากจนได้อย่างยั่งยืน,P1309,2
P130902,P130902,เป้าหมายที่ 9.2 คนทุกช่วงวัยได้รับความคุ้มครองทางสังคมที่เพียงพอต่อการดำรงชีวิต,P1309,2
P1310,P1310,หมุดหมายที่ 10 ไทยมีเศรษฐกิจหมุนเวียนและสังคมคาร์บอนต่ำ,P13,2
P131001,P131001,เป้าหมายที่ 10.1 การเพิ่มมูลค่าจากเศรษฐกิจหมุนเวียน และการใช้ทรัพยากรอย่างมีประสิทธิภาพ,P1310,2
P131002,P131002,เป้าหมายที่ 10.2 การอนุรักษ์ ฟื้นฟูและใช้ประโยชน์จากทรัพยากรธรรมชาติอย่างยั่งยืน,P1310,2
P131003,P131003,เป้าหมายที่ 10.3 การสร้างสังคมคาร์บอนต่ำและยั่งยืน,P1310,2
P1311,P1311,หมุดหมายที่ 11 ไทยสามารถลดความเสี่ยงและผลกระทบจากภัยธรรมชาติ และการเปลี่ยนแปลงสภาพภูมิอากาศ,P13,2
P131101,P131101,เป้าหมายที่ 11.1 ความเสียหายและผลกระทบจากภัยธรรมชาติและการเปลี่ยนแปลงสภาพภูมิอากาศลดลง,P1311,2
P131102,P131102,เป้าหมายที่ 11.2 ความเสี่ยงจากภัยธรรมชาติและการเปลี่ยนแปลงสภาพภูมิอากาศลดลง,P1311,2
P131103,P131103,เป้าหมายที่ 11.3 สังคมไทยมีภูมิคุ้มกันจากภัยธรรมชาติและการเปลี่ยนแปลงสภาพภูมิอากาศ,P1311,2
